id,title,title_slug,difficulty,runtime
653,Two Sum IV - Input is a BST,two-sum-iv-input-is-a-bst,1,n
654,Maximum Binary Tree,maximum-binary-tree,2,n
655,Print Binary Tree,print-binary-tree,2,n
657,Robot Return to Origin,robot-return-to-origin,1,n
658,Find K Closest Elements,find-k-closest-elements,2,n
659,Split Array into Consecutive Subsequences,split-array-into-consecutive-subsequences,2,n
661,Image Smoother,image-smoother,1,1
662,Maximum Width of Binary Tree,maximum-width-of-binary-tree,2,n
664,Strange Printer,strange-printer,3,n^3
665,Non-decreasing Array,non-decreasing-array,2,n
667,Beautiful Arrangement II,beautiful-arrangement-ii,2,n
668,Kth Smallest Number in Multiplication Table,kth-smallest-number-in-multiplication-table,3,1
